date,game,numbers,jackpot_usd,winners,source_url,fetched_at
Apr,Powerball,2 15 44 60 68 23,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Apr,Powerball,4 29 37 55 67 10,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Apr,Powerball,2 31 36 51 58 15,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Apr,Powerball,20 23 48 59 66 4,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Apr,Powerball,10 16 20 48 51 5,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Apr,Powerball,4 23 30 46 62 2,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Apr,Powerball,7 18 23 31 44 24,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Apr,Powerball,5 17 41 64 69 1,,,https://walottery.com/WinningNumbers/PastDrawings.aspx?gamename=powerball&unittype=day&unitcount=180,2025-09-14T17:45:13.664618Z
Apr,Powerball,1 1 2 3 4 2,,,https://walottery.com/WinningNumbers/NumbersFrequency.aspx?gamename=megamillions,2025-09-14T17:45:20.072041Z
Apr,Mega Millions,1 1 2 3 4 2,,,https://walottery.com/WinningNumbers/NumbersFrequency.aspx?gamename=megamillions,2025-09-14T17:45:20.072041Z
